route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
806,RINFRA-801-1_Weekday-16,46643977,,1,663,806SB_160306
806,RINFRA-801-1_Weekday-16,46643978,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-16,46643979,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-16,46643980,,0,673,806NB_160306
806,RINFRA-801-1_Weekday-16,46643981,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-16,46643982,,1,672,806SB_160306
801,RINFRA-801-1_Weekday-16,46643983,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46643984,,1,105,801SB_120323
806,RINFRA-801-1_Weekday-16,46643985,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-16,46643986,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-16,46643987,,0,654,806NB_160306
801,RINFRA-801-1_Weekday-16,46643988,,0,101,801NB_120323
806,RINFRA-801-1_Weekday-16,46643989,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-16,46643990,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-16,46643991,,0,667,806NB_160306
801,RINFRA-801-1_Weekday-16,46643992,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-16,46643993,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46643994,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-16,46643995,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46643996,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46643997,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46643998,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46643999,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644000,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644001,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-16,46644002,,0,118,801NB_120323
801,RINFRA-801-1_Weekday-16,46644003,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644004,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-16,46644005,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-16,46644006,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644007,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644008,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644009,,1,105,801SB_120323
